N1,N2,N3,N4,N5,N6,N7
175,11,34,38,10,47,28
162,17,30,49,13,45,22
147,14,31,59,8,56,27
143,9,29,40,9,48,16
137,11,20,36,9,48,24
108,4,21,18,3,39,13
60,2,9,12,8,27,10
70,2,7,15,4,23,8
44,6,12,9,3,22,5
16,4,4,11,1,16,8
17,1,3,1,2,10,2
27,0,9,3,3,4,2
22,0,2,3,2,3,1
11,1,2,4,0,7,1
5,0,1,2,0,4,7
15,2,3,4,1,2,2
19,0,3,2,3,7,3
68,13,7,21,3,5,1
144,5,21,30,4,27,10
235,18,22,55,11,19,15
222,17,33,67,14,43,23
167,19,32,47,16,39,21
148,13,26,48,9,30,19
201,16,25,58,12,29,17
188,11,26,51,12,39,19
191,12,30,50,14,35,21
172,20,26,47,13,54,29
163,14,20,49,12,45,25
120,8,19,47,8,51,22
105,7,10,22,12,27,16
53,7,6,20,7,17,11
59,2,4,15,2,28,11
44,3,10,12,1,21,6
30,1,2,11,0,9,9
24,1,3,2,0,8,3
14,1,4,7,3,2,2
13,1,5,3,4,4,3
15,1,2,0,0,1,0
10,0,2,2,1,3,3
10,1,4,5,1,3,2
20,6,4,4,1,2,2
75,7,16,18,4,3,2
168,11,12,32,2,14,5
236,16,26,46,8,37,14
227,19,36,74,13,31,23
172,16,27,60,8,40,15
157,12,28,41,13,26,15
177,13,26,50,11,39,24
152,15,30,69,15,50,26
181,8,35,52,10,54,34
161,17,30,62,13,54,22
141,16,26,56,11,50,22
125,3,33,35,8,40,13
95,11,11,26,10,38,16
60,1,13,22,2,20,13
56,2,6,18,6,22,12
48,2,5,18,3,14,9
29,3,3,12,2,15,6
18,2,4,6,1,10,2
14,0,3,5,1,4,2
15,0,2,1,2,8,3
9,1,3,0,1,0,2
6,1,4,3,1,4,4
16,1,3,6,1,5,1
23,4,1,3,1,3,2
72,13,12,16,4,9,4
167,14,10,44,3,16,7
207,15,26,50,7,27,13
222,22,20,61,19,38,24
191,13,27,57,7,34,22
160,11,29,53,11,36,19
200,13,27,55,9,51,25
201,7,38,60,17,47,27
154,27,28,69,9,35,25
226,29,36,74,15,65,34
207,23,36,63,22,65,36
162,12,23,51,14,55,31
