N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori,N7_Ori,N8_Ori,N9_Ori,N10_Ori,N11_Ori,N12_Ori,N13_Ori,N14_Ori,N15_Ori,N16_Ori,N17_Ori,N18_Ori,N19_Ori,N20_Ori,N21_Ori,N22_Ori,N23_Ori,N24_Ori,N25_Ori
3.1732173802520986e+18,3.671604358552633e+18,3.7146528814433e+18,3.64768631e+18,3.747694270718232e+18,3.7158821074766346e+18,3.9196502160804024e+18,3.8879288818181827e+18,4.0220136306818176e+18,4.0077171898734177e+18,4.0200375120772925e+18,4.000037295652176e+18,4.046160860139863e+18,3.9102278672985784e+18,3.884808867924528e+18,3.922526839506173e+18,3.9796129693877535e+18,3.860043088888889e+18,3.889299937888199e+18,3.9848591464646456e+18,3.961996534246576e+18,3.894685333333333e+18,3.867613547297296e+18,3.836687886138612e+18,3.824962621761658e+18
3.202237804075236e+18,3.551222843373494e+18,3.687974401337793e+18,3.795485714859437e+18,3.695701625e+18,3.7504774857142866e+18,3.889575137755103e+18,3.9783418883720945e+18,3.9298012808988754e+18,4.2430731797752806e+18,4.050977532894736e+18,4.14278566013072e+18,3.959708832e+18,3.915279779661015e+18,3.965833472222222e+18,3.933999736e+18,3.911373018292682e+18,3.8564440476190464e+18,3.829426006134969e+18,3.8594290424242417e+18,4.024153557046977e+18,3.9718558461538473e+18,3.84502534375e+18,3.888336382198952e+18,3.7036253008849567e+18
3.1650451742671007e+18,3.596516966292135e+18,3.7515166215139487e+18,3.7405600675675674e+18,3.860029328301889e+18,3.776138460869565e+18,3.7614564883720904e+18,4.0330079902912655e+18,4.119476751196172e+18,4.125110476190477e+18,4.206986612903225e+18,4.0807439e+18,3.938345381818184e+18,3.8334416308724823e+18,4.0011163700787415e+18,3.91810108275862e+18,3.9248583146853146e+18,3.9706846341463424e+18,3.944683587412588e+18,3.9483381958041953e+18,3.9880192515337416e+18,4.0019678807947e+18,3.896746053691277e+18,3.820420485029938e+18,3.6526937048192794e+18
3.302429226966294e+18,3.541227759259258e+18,3.7131945971222984e+18,3.786932321888414e+18,3.628315041095892e+18,3.673913891428574e+18,3.9897477111111096e+18,3.9162982791878175e+18,4.0127300270270254e+18,3.894673968911917e+18,4.1459429610389606e+18,3.967797935672516e+18,3.908420060402685e+18,3.816883822580645e+18,3.861641565517241e+18,3.927191089655172e+18,3.918689213483146e+18,3.9474914324324326e+18,3.918131950495052e+18,3.8469495985401457e+18,4.0325272628571407e+18,3.903477573770493e+18,3.893536473684208e+18,3.785674517766498e+18,3.6784854747474744e+18
3.2780076870860933e+18,3.5602790334346527e+18,3.689019996268656e+18,3.6200301980676337e+18,3.6730679073170734e+18,3.7076302244897946e+18,3.8850120879120886e+18,3.9609227818181806e+18,4.063663742514971e+18,4.1949484690721654e+18,4.074957768786126e+18,4.025103029585799e+18,3.9734874606060605e+18,3.770644654545453e+18,3.7970894691358013e+18,4.000801166666668e+18,4.011255486187847e+18,4.1131641515151514e+18,4.0559004e+18,3.906546163265304e+18,4.0274977066666655e+18,3.9727110701754383e+18,3.913448410714288e+18,3.9375737976878607e+18,3.812813471204188e+18
3.2328727085308047e+18,3.581416475e+18,3.724619919148936e+18,3.737183445414845e+18,3.805434344978168e+18,3.7957193425925934e+18,4.0484935140186926e+18,4.0280544698795167e+18,4.17786905e+18,4.1607451214953247e+18,4.1133713216783217e+18,4.0889172881355935e+18,4.16217146590909e+18,4.0881098922155694e+18,4.4385061410256415e+18,3.9613707045454546e+18,3.996749666666669e+18,4.0151890209790234e+18,4.123420446927376e+18,4.0605643513513503e+18,4.008048797619045e+18,4.0190519248554926e+18,4.0496216214689254e+18,3.9030898139534874e+18,3.5411364532710246e+18
3.563068593548387e+18,3.5927515314285706e+18,3.625815911764706e+18,3.7505443257142845e+18,3.8521568202247214e+18,3.8985572675159214e+18,4.1283551005025106e+18,4.206371140495869e+18,4.252306290178572e+18,4.282375507042252e+18,4.2299278518518497e+18,4.0788723021978e+18,4.29198836885246e+18,4.138844430939227e+18,4.1644226459627325e+18,4.125343945544555e+18,4.2185902527472527e+18,4.109931474418604e+18,3.9238531190476186e+18,4.02706388e+18,4.202782946281e+18,4.179828197916671e+18,3.9970433311036785e+18,3.772287373655913e+18,3.5284293868613166e+18
3.745646835714287e+18,3.634043602564103e+18,3.6776968273381274e+18,3.754869621428571e+18,3.697786116438356e+18,4.0388485094339615e+18,4.073064435643565e+18,4.079264132231404e+18,4.2099546737588654e+18,4.114086153005463e+18,4.2512173865030687e+18,4.329009413580247e+18,4.0942406099585014e+18,4.179873450704225e+18,4.236949888888888e+18,4.1025408325791857e+18,4.1484948839779026e+18,4.1468976234309617e+18,3.981314455938695e+18,4.1659550646766193e+18,4.206987753363231e+18,4.192142288732392e+18,4.042735088967973e+18,3.863748145015108e+18,3.5244160641562066e+18
3.4447822122641516e+18,3.5353922826086953e+18,3.84053185625e+18,3.838319812807884e+18,3.857091335294116e+18,3.9611137772020726e+18,4.169215061349696e+18,4.2534210526315807e+18,4.184694545977011e+18,4.261665704225351e+18,4.250826153153155e+18,4.271317780487805e+18,4.198462890547264e+18,4.1301050864197535e+18,4.130225284916204e+18,4.3160529909909914e+18,4.355416618421053e+18,4.1729973421052616e+18,4.230989908695652e+18,4.173999850467288e+18,4.166304616438357e+18,4.151820224390244e+18,4.044199584615384e+18,3.845636558823528e+18,3.5312286957264937e+18
3.6761571515151514e+18,3.535456740259739e+18,3.77373641919192e+18,3.708664613924052e+18,3.826804343283585e+18,3.8899486321839063e+18,3.99814813705584e+18,4.189041884146341e+18,4.295002429447853e+18,4.2402188325791857e+18,4.236539371900827e+18,4.124504174863387e+18,4.1330192896174874e+18,4.2399215531914906e+18,4.3296178846153846e+18,4.218582054794519e+18,3.994675834710743e+18,4.107261936363636e+18,4.118002470588237e+18,4.182547105555557e+18,4.139802238805971e+18,4.097863812977101e+18,3.935899984905661e+18,3.8527367507987226e+18,3.476697475694444e+18
3.4203707605633807e+18,3.6085590093896735e+18,3.697202007462686e+18,3.674979928571428e+18,3.895943115606936e+18,3.979041445255476e+18,4.07394685e+18,4.2387941928571433e+18,4.292667497267757e+18,4.147905632287e+18,4.27788755e+18,4.117407064676616e+18,4.21942829375e+18,4.076078344398343e+18,4.244962793721974e+18,4.2900208131868114e+18,4.1198477184873953e+18,4.1303376887755095e+18,4.067058289215687e+18,4.168341483471072e+18,4.1376319537366554e+18,4.1879236605166054e+18,4.037569046762588e+18,3.7074492514450847e+18,3.49223695565093e+18
3.6930629292929306e+18,3.632471693877551e+18,3.657923902985076e+18,3.6911880051546394e+18,3.853526141025641e+18,3.906128666666664e+18,4.0398389270073e+18,4.2486790198019814e+18,4.1218089009900995e+18,4.2726732222222234e+18,4.248420895522387e+18,4.2777740546448097e+18,4.2877509424460416e+18,4.113919428571429e+18,4.2853101928571407e+18,4.192670615e+18,4.1032494776119383e+18,4.0031625865921807e+18,4.240798173076925e+18,4.1305183232758646e+18,4.238541370370367e+18,4.166005967948716e+18,4.079066203921568e+18,3.865179091133e+18,3.50720319761499e+18
3.5941703045977006e+18,3.621931720812181e+18,3.712501948837212e+18,3.721310390410958e+18,3.9236461491228073e+18,3.942754449275361e+18,4.122600623853212e+18,4.239318527093596e+18,4.233825801104972e+18,4.274337888429757e+18,4.2775747922077937e+18,4.202432925925924e+18,4.19844424796748e+18,4.17341111875e+18,4.0943745882352906e+18,4.2530666381909576e+18,4.090416582089553e+18,4.26223503e+18,4.0710835777777777e+18,4.107889444444443e+18,4.1285701907216486e+18,4.1245001067415726e+18,3.902703348039216e+18,3.901132e+18,3.4729457e+18
3.64155513559322e+18,3.6873695720339e+18,3.6711421052631593e+18,3.6677250960451994e+18,3.8323495388601016e+18,3.851118273504272e+18,4.02600815e+18,4.211318061349692e+18,4.2415175792349706e+18,4.1887735027322414e+18,4.2117299929577446e+18,4.313963624309392e+18,4.1728110621118e+18,4.269783712230215e+18,4.4174130654205583e+18,4.10906107936508e+18,4.188033016666668e+18,4.130263473933648e+18,4.0590398246753265e+18,4.108597147982064e+18,4.086877176245215e+18,4.007130919117648e+18,4.005464377682404e+18,3.782493604938272e+18,3.4529365629921316e+18
