N1,N2,N3,N4,N5,N6,N7
7.615392826,1.146665493,2.923418392,4.799414687,0.419356682,0,0.686727044
0,2.098219698,0.338907955,1.510975151,0.793339621,0.391342906,0
2.635665121,1.246439097,0,0,1.122147935,0,0.771132966
8.288265324,0.490340614,0.235192898,1.331160573,0.35781569,0,0.17119311
0,2.563286061,2.177434202,3.291998938,1.095845639,2.002351968,0.207593704
3.138588696,1.24023443,0.41190664,2.301130624,2.399345143,0,1.704571757
6.459539571,1.698801643,1.806301004,2.547720782,2.317654264,0.535882614,1.42655527
0,1.463817545,1.622492111,1.798041163,0.951625128,0,1.939200575
0.198083951,2.664940221,2.274120616,3.353860363,1.801452751,1.305481685,0.676867883
3.14410801,0.690892669,0.127418177,0,0.370644941,1.404952058,0.44468234
2.652228541,0,1.14184807,1.348727337,0.728714963,0.469394557,0.686814324
7.391005554,1.31336954,0.523058978,4.108855339,1.68218057,0,0
13.22093383,2.476764217,1.652429916,3.467585075,0.927947624,0,1.907810726
16.1422045,2.921216052,1.25771293,3.659659047,0.261063692,2.409078402,1.200471139
13.11752906,1.063671122,2.810379732,0,0.885221808,0,2.356835728
22.2856558,3.867623919,2.167436299,3.323279238,1.175936459,3.207125889,0.531928999
18.34446747,3.801938024,0,4.890501,0,0,2.171813754
26.33430135,1.238732019,2.9794387,2.989716821,1.452643216,2.872942245,0.174195061
22.65474671,5.126060473,4.653666582,3.90956575,1.324344298,2.373790529,0.538400522
29.9658819,1.697924614,4.829535297,3.478863605,1.35907023,1.810693196,0.64870129
21.44767502,1.314284459,3.38693081,4.459169656,0.224424973,3.891456443,1.415106794
21.89714099,3.144334561,1.678596521,5.500376317,1.408308284,1.558599882,0.720133916
30.04405629,1.259171728,6.410763695,1.92829121,0.033572689,4.742801983,1.053475021
39.84361487,2.273380785,1.13087312,7.256097381,1.53365567,8.08043574,1.237081524
40.35039239,2.751527591,1.625159561,6.366576627,0.827934915,3.792846156,1.777842271
23.62903641,4.457876238,1.891385899,6.725066535,1.203328432,4.12991966,0.654543458
33.5245786,2.62274176,4.829657981,9.581964297,1.492151489,9.320546909,4.345977358
31.5962267,4.458862781,5.077527431,10.49306116,0.682859384,6.776533528,3.084080775
38.25439991,4.143537383,5.198781292,10.88706154,2.169978721,2.264214499,4.284474188
34.64554589,3.105823034,2.654164329,8.885459596,0.791188762,4.207337471,6.742773811
29.2269047,3.426078477,0.968890933,10.78850722,1.206045095,7.299222581,3.631620477
34.9219708,3.165493959,1.577531787,9.280893283,0.625302834,7.3259612,3.73554112
31.62007103,3.593554208,4.300411435,8.649172599,3.343630147,5.073253964,5.401594468
30.96663659,2.953983105,1.925009398,8.61858107,0.643906584,5.318058093,6.051904534
24.18604914,1.944055405,6.478545073,4.632166456,0.274601076,5.075554612,3.048014781
36.07660717,2.473157171,4.05317459,10.63881503,1.702341175,1.323106617,3.03640121
33.21369532,3.364090503,2.565862381,7.491885889,2.516091658,4.184981161,2.648002751
27.88823043,1.879436358,8.480969944,9.954469852,1.435244991,3.816683945,5.030992276
30.09597614,2.271397072,3.353802181,10.52058397,1.417398992,6.125278532,0.882104383
29.11103234,2.095484952,3.816060187,6.125251271,0.963500623,4.699978922,2.681203003
20.65999572,2.105748947,2.117132197,6.202744507,3.007897583,7.452773099,3.361925264
26.28416161,0.774981135,0.164439061,6.329728515,2.863558722,7.875500989,4.973663551
20.94302743,1.767561309,4.026566442,10.71522962,2.179342932,2.712440624,1.029788345
15.74687058,3.823848118,2.376853126,8.834724255,3.972543883,3.463046013,3.529418396
22.93387632,0,4.024971759,7.356029808,3.182997731,7.266148217,3.272913694
20.7515864,1.276456217,2.429906466,7.190358908,1.617826698,6.211417915,3.993003855
20.20866493,3.157277824,4.030349692,3.773078585,2.04410515,6.146627658,6.107615451
34.24987721,2.874397068,5.591002347,8.046886289,1.960780832,4.218155096,2.882360694
22.874131,2.080670474,5.839021502,7.567890509,2.819014156,5.088133611,0.196183461
14.70999019,2.299363693,3.913796106,5.640566466,1.139615606,6.223099285,1.385799538
18.67708008,1.072540904,1.616823818,9.320409209,1.475934687,4.714744957,1.54194259
21.85226339,1.749541081,5.354926965,8.665445081,0.475306748,3.721232651,3.781724569
25.9024053,2.009739835,1.387926265,9.560158268,3.820795408,7.261276728,2.353949473
23.80083443,3.504417621,7.241334096,8.195206911,2.525520194,6.868722664,3.883275488
30.47376967,2.846950302,7.853140777,7.618360263,1.900159747,8.359068801,2.520111088
29.58695688,2.73911856,4.559503881,8.208185803,0.562999059,4.906996525,5.083591695
25.16561964,2.045648693,5.677102113,13.24515823,0.835476277,2.6275268,3.913991125
27.253845,0.581633992,2.626952296,9.062131154,3.165281174,4.409191519,4.405678741
27.77532603,0.960867178,1.601887071,7.046417436,1.766707238,9.049976543,0.242584818
25.84388629,0.297825469,7.021292109,9.243045424,0,12.92475633,1.391671713
