"","N1_Ori","N1_Fit","N2_Ori","N2_Fit","N3_Ori","N3_Fit","N4_Ori","N4_Fit","N5_Ori","N5_Fit","N6_Ori","N6_Fit","N7_Ori","N7_Fit"
"277",65,51.7556156309303,4,4.99169993443719,8,7.53939895705811,24,23.9661280374503,6,5.70884134248453,34,31.1738363878096,12,10.3199872050733
"278",60,59.3823509701268,2,3.22002224219118,9,8.96516308462978,15,20.8750883748582,3,3.57653271685397,24,21.6452951408301,9,12.257366844354
"279",45,74.9176192461853,3,0.319526087760812,14,12.1431340184004,13,12.8635210742976,9,6.23749821833885,32,28.4496129530893,5,5.45172368819328
"280",53,52.697420513759,2,2.1041152374519,5,3.18670941034242,11,14.1780640536918,6,7.38423509406366,34,32.9510391380289,4,1.423301715534
"281",45,49.2674538310939,1,3.12851626892123,6,4.1871049381955,7,8.72347587571484,7,4.27605099836657,20,14.550456591285,12,10.8123386404867
"282",45,24.7462204074017,3,0.245072319564862,11,5.80997000142191,6,12.6615603414905,3,3.11269756078387,16,15.9714528879456,9,5.92782827616611
"283",36,45.1824589549955,0,1.06473594482954,8,9.45501922986933,11,11.2608417898049,5,5.47300395619631,18,19.9037604117988,4,5.40588190523936
"284",36,49.571017106417,4,4.75486330989889,7,5.93708398732001,4,8.38211150366054,2,2.34010478104209,11,14.0674884233567,5,5.06956502790454
"285",30,39.5078236995533,1,0.270851017161184,7,5.90242533960804,12,15.5753657402138,8,6.38014565155609,12,11.7108779807166,2,6.96006348052664
"286",35,10.273937536837,1,0,12,13.6513909579265,9,7.10838275886793,2,3.38128999156588,13,13.2052506764973,4,1.2190546086572
"287",21,20.096873468234,2,0,0,0,6,7.13474429177629,1,0,5,6.94900890677851,4,5.25028073674922
"288",9,12.6748711379331,0,1.81277490801736,5,3.34071328550547,1,0.985980272548178,3,1.00584192672787,3,4.42578320293903,4,5.19375870025482
"289",11,5.9296143389185,0,0.681249602556331,1,0.437465046910837,1,1.93018859649705,1,2.39789552590764,5,7.75654076302243,1,1.94924369716331
"290",12,14.0914457114765,1,2.42529917522055,4,5.56222792801409,2,2.95485083912666,2,2.78944213595942,4,4.66038303731622,2,0.375294969984754
"291",4,21.2158415453404,0,0,1,3.65952135426345,2,2.1921511931821,0,0,1,0,0,2.70045269937822
"292",9,31.0779619027485,0,2.67529443483349,0,0,1,7.99253014871523,1,0,4,2.18691566455003,0,1.64816801416281
"293",7,0,0,2.56600931061215,1,0.359306587040283,3,2.81765359842481,0,1.77189792962573,2,2.90398387029878,1,1.93597404466794
"294",6,36.8508070398428,0,1.46620708978635,0,1.78077519289031,4,4.31685019900154,0,0.346275797635932,4,2.47860542546625,0,1.0347092245265
"295",12,14.2692336808049,0,1.76428563064079,1,2.60433881283544,1,5.0496472682334,1,0.808436363847993,2,0,2,3.60351623523962
"296",1,41.6932555290832,0,0,2,0.184320963785355,1,0,5,5.0800775082554,2,5.28017528034965,0,0
"297",8,43.840562389207,0,1.71466577757005,0,2.14307000921371,1,7.36574266075648,0,0,3,3.38759836422393,1,0.273529206287035
"298",4,0,0,0.862388933862819,0,0,0,6.12987171753895,0,0.0949209020060412,0,2.24410679418077,3,2.7010367658569
"299",1,16.9635148585774,0,0,2,5.18475888176899,2,4.32290589290684,1,2.51626051213513,2,4.00275068312679,1,0.965700734842336
"300",6,24.1705988381301,1,2.67366078904268,1,2.14437483709738,4,10.9869152248552,1,0.917583493442375,1,0.87799939863798,1,1.77758435651088
"301",8,35.2837885982716,1,1.68846998427371,2,4.95076137709671,2,6.64604032574786,4,2.56955890728063,2,3.20966947257782,1,0
"302",26,57.6939364136412,0,1.33215838123835,4,2.88341884151285,3,11.1074359396226,3,3.35538414178067,3,1.16017589177776,3,0.965464853599332
"303",47,66.1527612240861,5,5.78925070339429,1,2.03108206042106,16,8.8609716145396,6,5.94880834521974,6,4.26711918898662,1,1.06238544906841
"304",81,62.0641223877791,10,6.03073542547004,9,10.2805951504782,15,18.6848946210901,6,6.2736051435714,9,6.93382630809731,10,5.21225522898968
"305",76,69.0876970763536,12,8.85713346717053,7,5.598157029731,14,13.9778607032859,1,1.48931654817959,17,9.08486634647971,6,3.16914057138352
"306",92,93.3495031034319,6,6.57112968952619,6,9.87787421783845,23,16.2436990854565,3,1.7616544604585,15,16.3146087629288,11,8.03057436628039
"307",97,117.718181000919,14,6.29769470660878,14,11.7899187437102,27,31.6651030090475,2,0.833208850812799,7,4.48394193161434,7,6.39378438071053
"308",105,113.738316369221,10,10.1833074259589,13,11.4799303408788,31,28.7483713583518,2,1.54481573668965,17,15.1397786351912,10,7.38205837009797
"309",120,113.494100760418,6,8.28226489607185,14,8.45047818190781,28,18.6216138317749,6,4.04598139989921,22,23.5693804688834,10,11.1629207946054
"310",101,94.4901950460044,8,4.81731879700619,14,14.0689809412134,28,26.4976072807075,14,13.2447704534121,25,22.6272599659636,10,7.85065649885909
"311",95,64.7161659664241,9,8.19690204911704,11,10.5824379908086,23,28.2636488316614,5,5.98430756568126,21,20.7878365582351,10,10.387063745451
"312",66,63.8136816881105,5,4.74745362139732,11,12.3675565635179,24,23.7745177040879,4,4.34241655955649,25,27.505567575984,11,11.025752340624
"313",68,92.7736046404902,5,4.56787638003647,18,16.1453949990209,18,27.1483858119531,4,4.3941270337575,18,22.6510671701201,4,5.7465289590214
"314",57,72.4547390885785,7,6.34479332972093,10,10.1045359163144,38,30.480152282379,6,6.32682978925758,21,21.0153145355996,11,10.8014122019567
"315",81,98.4780271233908,3,6.76131077076611,18,15.7238959604593,34,32.0818025401911,4,2.85198314725976,21,21.1427519087262,12,12.9451491919241
"316",98,105.470065792049,10,8.77833571313812,11,6.60202141223371,29,29.3854944084192,1,3.29235557186864,20,16.4110631795362,11,8.19657017417227
"317",82,85.8538898252931,7,6.73217101298596,12,10.0249007281436,35,29.6588088317565,4,4.71384326405886,30,32.0414454297254,9,8.58153313961997
"318",99,67.0360196971192,8,7.07507241922357,16,14.9276188743312,23,22.4780911434671,13,11.8356592805377,26,22.9685291509927,18,12.6921326579727
"319",108,105.218916056667,6,7.12904519061271,12,11.1097995725279,24,22.4314730150285,3,3.17905449128549,20,22.6692019555537,16,16.8782340187263
"320",88,67.516683668931,9,11.2858097830912,12,14.5257970651408,21,27.2261934277725,9,8.87432056743228,20,16.9517409535296,10,13.0451718522107
"321",82,79.9924859087332,7,4.814157471737,19,19.6732845908744,29,28.8205576581698,9,9.05644636643959,15,17.5893632309749,18,12.3092317337123
"322",82,127.440680155564,5,6.38487165380024,18,17.3666267920069,30,35.0376115826326,4,5.27229677602118,20,20.094901472697,7,10.6634693164771
"323",89,72.3964079711891,7,7.02415562608398,22,16.9667739820434,38,31.2464385861952,5,5.74325295816992,27,26.9835594006428,13,10.3327526139853
"324",75,61.3767074085161,2,4.70463929670397,16,13.2011469326786,21,19.5695191352465,6,4.41840909387461,20,18.095277179605,14,14.9865917553078
"325",55,35.7702204487899,1,3.29174102026567,8,8.65389944438147,15,18.8972046531408,5,5.69670573316156,18,17.4945228067415,14,10.2360752320298
"326",57,43.0981771132995,3,3.17781156836306,5,4.1242598842426,15,12.7768185959087,6,7.1469163783576,17,15.8214128945149,7,8.44472226421207
"327",49,43.0765360823227,0,0.486265566682313,11,9.02079873138642,15,8.7667030893814,1,2.97929820881081,8,9.08782295173459,10,7.14723511376538
"328",38,49.9055909794573,2,2.27177473780724,9,8.64844318092754,7,7.13298347618264,4,2.7338135642556,10,13.1563299273514,5,0.262106931216496
"329",24,21.7078460414286,1,0.0417997318244353,3,2.47528368749393,6,11.5731709128133,4,5.42073774483376,11,6.34046221093621,4,2.44625151132688
"330",28,3.42801998967526,1,1.94359705454305,6,4.78420450714223,6,5.5550182115526,2,0.029632682445921,9,9.27050339683649,3,3.13687429855873
"331",34,17.4760505807179,0,2.47065823391994,8,8.43627341915701,9,5.01797277781977,4,4.76732839347869,8,6.37856759491671,4,4.42139010427024
"332",26,39.2599051896317,0,1.32921567713529,7,5.00172653046652,7,8.58657129366353,2,1.22200110712473,10,5.58846282927272,4,2.70655878993646
"333",21,34.8646023198725,2,0.115472276262893,1,3.29840451428916,10,10.4524954083214,0,0,9,7.92628839267312,4,7.50720641998234
"334",17,8.25788532456291,1,3.27657637646606,6,6.43924289052986,7,1.9290582513155,3,2.33050506562079,11,13.9234104968195,1,3.38230914055935
"335",16,3.42925519545946,3,5.14655023093067,3,1.91003010494053,9,2.27587835700449,1,1.22393413912381,5,4.34216670990409,2,3.66184335376097
"336",10,0,1,4.24598357183963,2,1.61341357267891,5,10.5210741168505,0,1.38553194856597,2,3.60941861793103,4,3.3666422484556
"337",11,17.2275720005645,2,3.91373177299276,1,2.85479079224525,4,5.30900115221286,0,0.632143836063653,7,7.45944770955804,4,2.91678737629684
"338",15,20.2187840876256,2,2.43965268155613,1,1.73372683370079,7,6.51471492700925,2,2.86673384288874,7,8.30170512082095,3,2.44558183180955
"339",14,0,2,2.4433727243345,1,4.87923142769289,1,1.59247387073749,2,1.13038278726798,3,2.72864036539122,2,1.8750351093066
"340",5,0,2,2.40362310151259,0,0,3,5.23690196063879,0,1.41541799385822,0,1.77683699290945,1,3.94294959111001
"341",10,6.73827629255185,0,0.505081844421662,0,1.75823792652759,3,3.28435021245518,2,2.80046524025227,2,2.91083139458648,1,2.46742787084716
"342",7,2.69735033602542,0,0,2,1.92067068748519,1,2.29714764806874,0,0,2,3.06316590542151,1,0.317848156481297
"343",9,20.6827613122842,0,3.03020855920948,0,0.400664217278522,1,0.773438523037573,1,0.24014966560494,2,1.10793666854997,2,3.13790550314253
"344",9,9.09654900768974,1,1.26097184113592,1,2.17396778852806,0,7.98846591354718,0,1.30200141239135,2,3.5578398973556,1,1.74590584923128
"345",9,0,0,1.13891835774243,1,3.70766183677504,1,0.0379672213346693,0,0,2,4.00108736679651,3,0
"346",8,0.750052466353712,0,1.96764706492216,1,0.293904312701875,0,0,2,2.61420409922786,1,2.16411425848299,1,0
"347",4,35.3494367430753,0,0,1,0.218302097564904,0,0.777238756204587,0,1.75352052510104,3,1.69802038436643,0,3.90474258502033
"348",10,10.7514640229813,1,0.851464562322916,1,0.40523685095243,6,0.827350874348025,2,3.12617078895532,0,0,1,0
"349",9,13.7096700941848,0,1.97968362011687,3,1.7811638723863,1,3.87857048808331,0,0,2,2.34843161160065,0,0
"350",14,10.1810911442644,7,2.59094581521624,5,4.87410370484105,0,4.28806238050452,1,0.36970080684022,1,1.55075032262354,2,3.20958416771122
"351",31,45.2602381397804,10,6.63063186388605,4,3.75599775016381,8,3.93215855943637,3,2.48217721611643,1,4.45424189705449,3,1.4372154287512
"352",52,38.4890085906513,6,6.50393836671013,4,3.7730512117326,7,7.37262562559325,4,2.41849330335165,11,11.4659231997132,0,2.33696953802973
"353",70,54.6299469530762,5,2.65935642813949,8,4.83525437963823,11,21.1824028160993,1,1.16292117254867,5,0.832505806137734,7,5.99684671554727
"354",80,79.6082194135397,9,10.5309784402444,9,7.04971330974615,16,18.6029540045531,4,3.67557498612146,12,10.9472998034234,6,3.84143267880569
"355",109,88.9376081254177,9,7.35869039484072,11,11.0038121781009,20,24.6877214228863,5,4.16888275599721,8,8.30326942149389,7,4.04956505024069
"356",128,69.7889671774049,11,11.1188972441319,16,16.523310303315,28,26.922324357537,4,3.15585249890761,17,18.4207928051762,11,9.09815605811215
"357",111,93.3078750473746,10,5.84808735323463,12,12.9520756986235,37,33.4952573068122,2,1.10250780011452,16,14.4074701577387,13,11.8288222824664
"358",102,97.3046043248837,12,10.3135730327231,7,7.64049012011674,37,31.5694714209043,4,4.21037595643042,30,29.6941087703386,14,11.1323216716471
