N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori,N7_Ori,N8_Ori,N9_Ori,N10_Ori,N11_Ori,N12_Ori,N13_Ori,N14_Ori,N15_Ori,N16_Ori,N17_Ori,N18_Ori,N19_Ori,N20_Ori,N21_Ori,N22_Ori,N23_Ori,N24_Ori,N25_Ori,N26_Ori,N27_Ori,N28_Ori,N29_Ori,N30_Ori,N31_Ori,N32_Ori,N33_Ori,N34_Ori,N35_Ori,N36_Ori,N37_Ori,N38_Ori,N39_Ori,N40_Ori,N41_Ori,N42_Ori,N43_Ori,N44_Ori,N45_Ori,N46_Ori,N47_Ori,N48_Ori,N49_Ori,N50_Ori,N51_Ori,N52_Ori,N53_Ori,N54_Ori,N55_Ori,N56_Ori
51.0,71.99999,49.999992,70.0,102.00001,73.0,51.999996,49.999996,43.0,58.999996,39.999996,36.0,61.0,31.0,54.999992,50.999996,66.0,53.999996,26.999996,26.0,45.999992,45.99999,55.000004,16.0,81.0,29.999998,23.999998,29.999998,61.0,60.000004,61.000008,7.0000014,65.0,53.999996,41.000004,53.999992,53.999992,25.0,26.0,0.9999999,21.0,16.000002,6.9999986,14.999996,6.0,28.999996,24.0,5.000002,26.000004,14.0,8.000001,29.999998,17.0,13.0,27.0,9.000002
48.000004,77.99999,54.000008,69.0,89.99999,60.0,49.999996,57.999996,48.0,52.999996,48.999996,36.0,67.0,33.0,60.0,54.999996,62.0,41.000004,27.999996,38.0,49.999992,43.999996,51.999996,11.0,83.99999,33.999996,12.999998,27.999998,67.0,63.00001,60.0,3.0000005,68.0,53.999996,50.000004,61.0,52.0,17.0,23.0,3.0,19.999996,17.000002,17.0,24.999996,7.000002,28.999996,23.000004,8.0,16.000004,13.0,5.0000005,14.999997,8.000001,8.0,23.0,11.0
57.0,64.99999,53.000008,56.0,66.00001,62.0,47.999996,45.999996,53.0,60.999996,53.999996,29.000002,45.000008,36.0,50.0,44.999996,59.000008,44.00001,22.999996,25.0,34.0,43.999996,51.999996,10.0,68.0,22.999998,10.999998,24.999998,47.0,52.999996,52.0,5.0000005,46.0,41.999996,36.000004,40.0,35.0,16.0,20.0,1.9999999,22.000004,17.000002,12.999999,18.999996,7.000002,21.000004,19.000004,8.0,26.000004,12.0,5.0000005,20.999998,13.000001,11.0,20.0,8.000002
36.0,60.999992,58.999992,61.0,71.00001,51.0,30.999996,37.999996,32.999992,46.999996,39.999996,35.0,48.000008,24.0,35.0,31.999998,63.0,39.000004,19.999996,26.0,45.999992,51.999996,39.999996,6.0,67.0,18.999998,7.999998,12.999997,63.000008,61.000004,65.00001,7.0000014,48.0,40.999996,35.000004,42.0,52.0,27.000002,26.0,3.0,17.999996,16.000002,14.999999,20.999996,3.0000002,34.0,31.0,11.0,20.000004,7.9999995,-1.2715658e-06,15.999997,8.000001,11.0,25.0,11.0
43.0,62.999992,52.000008,60.0,65.00001,36.0,25.999996,32.999996,35.999992,44.999996,40.999996,30.000002,42.000008,23.0,34.000008,35.99999,44.0,39.000004,24.999996,23.0,36.0,41.999996,35.99999,10.0,71.0,37.0,17.999998,24.999998,46.0,44.000004,46.999992,4.0000005,60.0,54.999996,48.000004,53.999992,42.999992,14.0,19.0,4.0,18.999996,17.000002,14.999999,19.999996,7.000002,21.000004,21.000004,7.0,12.000004,10.0,8.000001,16.999998,4.0000014,8.0,19.0,3.0000017
33.0,57.999992,55.000008,57.0,74.99999,43.0,28.999996,24.999996,39.0,45.999996,40.999996,32.0,56.0,32.0,23.000008,22.999998,40.999992,33.000004,21.999996,20.0,36.0,43.999996,29.999998,14.0,42.0,19.999998,8.999998,20.999998,40.999992,38.000004,41.0,6.0000005,32.0,26.999998,25.000002,27.999998,31.0,15.0,18.0,1.9999999,25.0,13.000001,9.999999,9.999996,5.0,21.000004,24.0,6.0,20.000004,3.9999995,6.0000005,7.9999976,3.0000012,8.0,22.0,7.000002
37.0,60.999992,45.000008,42.0,64.00001,43.0,32.999996,29.000004,50.0,45.999996,26.999996,26.000002,48.000008,20.0,22.000008,14.999997,48.0,41.000004,22.999996,20.0,32.0,33.999996,24.000006,10.0,51.0,19.999998,5.999998,16.999998,47.0,45.00001,43.000008,2.0000005,33.0,22.999998,27.000002,41.0,37.0,11.0,16.0,0.9999999,11.999996,4.0000014,6.9999986,13.999996,1.0000002,12.000004,10.000004,1.9999983,21.000004,6.9999995,7.0000005,17.999998,6.0000014,4.0,10.999999,4.000002
25.999998,52.999992,42.000008,49.0,49.000004,28.999998,24.999996,35.99999,22.999998,29.999996,32.999996,32.0,49.000008,25.0,32.000008,30.999998,33.000008,32.000004,23.999996,18.0,25.000002,30.999996,29.999998,7.0,48.0,26.999998,15.999998,18.999998,32.0,30.000004,29.000002,4.0000005,30.00001,26.999998,21.000002,23.999998,29.0,12.0,15.0,1.9999999,13.999996,10.000001,4.9999986,8.999996,3.0000002,19.000004,13.000004,6.0,13.000004,3.9999995,1.9999987,12.999997,4.0000014,5.0,6.999999,1.0000017
36.0,46.999992,36.000008,52.0,46.000004,35.0,26.999996,16.999989,31.99999,28.999996,20.999996,19.000002,30.000008,26.0,23.000008,15.999997,31.000008,25.000004,17.999996,14.000001,27.000002,26.999996,26.000006,4.0,34.0,20.999998,9.999998,13.999997,28.000002,32.000004,29.000002,3.0000005,28.999994,24.999998,18.000002,18.999998,21.0,6.0000005,11.0,1.9999999,6.9999967,6.0000014,3.9999988,4.9999967,2.0000002,14.000004,14.000004,8.0,15.000004,3.9999995,4.0000024,13.999997,9.000001,13.0,20.0,9.000002
27.999998,45.999992,46.000008,50.0,42.000004,37.0,23.999996,13.999996,25.000006,32.999996,30.999996,26.000002,30.000008,19.0,16.000008,13.999997,34.000008,30.000004,10.999996,11.000001,20.000002,18.999996,17.000006,4.0,46.0,15.999997,5.999998,17.999998,24.000002,21.000004,19.000002,2.0000005,33.0,24.999998,24.000002,25.999998,22.000008,10.0,10.000004,0.9999999,12.999996,8.000001,6.9999986,4.9999967,1.0000002,12.000004,13.000004,5.000002,13.000004,3.9999995,1.9999987,8.999997,6.0000014,6.0,10.999999,2.0000017
25.999998,35.999992,31.000023,39.0,47.000004,31.99999,21.999996,12.999996,28.000006,27.999996,27.999996,18.000002,35.000008,21.0,19.000008,14.999997,34.000008,24.000004,14.999996,18.0,33.0,31.999996,20.000006,5.0,39.0,17.999998,9.999998,16.999998,33.0,34.000004,33.0,3.0000005,33.0,18.999998,23.000002,34.0,25.0,9.0,23.0,0.9999999,11.999996,8.000001,7.9999986,12.999996,1.0000002,16.000004,19.000004,5.000002,19.000004,7.9999995,0.99999875,8.999997,5.0000014,4.0,11.999999,3.0000017
18.999998,31.999992,30.000008,30.000015,44.000004,25.999998,26.999996,14.999996,23.999998,21.999996,26.999996,17.000002,30.000008,15.0,12.000007,13.000005,34.000008,22.000004,15.999996,12.000001,16.000002,22.999996,8.000005,3.0,24.999998,6.9999976,1.9999983,13.999997,24.000002,19.000004,20.000002,4.0000005,23.000002,13.999997,15.000003,23.999998,15.999999,10.0,9.000004,-1.05963814e-07,8.999996,3.0000012,7.9999986,12.999996,2.0000002,9.000004,9.000004,5.000002,11.000004,4.9999995,6.0000005,12.999997,3.0000012,1.0,7.999999,4.000002
16.999998,18.999992,24.000008,31.0,34.000004,31.000006,17.999996,17.999996,10.999998,13.999996,18.999996,21.000002,26.000008,13.0,16.000008,16.999998,16.000008,16.000004,13.999996,13.000001,18.000002,21.999996,19.000006,5.0,25.999998,7.9999976,1.9999983,13.999997,24.000002,25.000004,23.000002,2.0000005,28.000002,13.999997,11.000003,19.999998,21.0,11.0,9.000004,1.9999999,14.999996,5.0000014,2.9999988,7.9999967,3.0000002,11.000004,10.000004,5.000002,9.000004,3.9999995,3.0000026,4.9999976,2.0000012,5.0,9.999999,4.000002
23.999998,29.999992,27.000008,37.999985,49.000004,44.0,32.999996,22.000004,15.999998,26.999996,21.999996,27.000002,34.000008,18.0,17.000008,18.999998,23.000008,27.000004,14.999996,17.0,31.000002,23.999989,13.000005,3.0,24.999998,6.9999976,5.999998,9.999997,36.0,33.000004,32.0,3.0000005,21.000002,20.999998,15.000003,22.999998,33.0,15.0,16.0,0.9999999,6.9999967,8.000001,8.999999,10.999996,3.0000002,18.000004,12.000004,5.000002,4.0000033,1.9999995,5.0000005,11.999997,7.0000014,9.0,11.999999,4.000002
21.334631,25.702324,51.95736,52.534363,38.394306,20.110594,4.9882474,27.406513,17.877249,19.05273,25.539867,14.725313,23.894188,11.145271,23.363152,18.739569,19.141914,20.467686,14.982517,15.3331,26.69092,20.40852,21.562109,3.9491997,35.57094,14.592763,12.189421,38.096676,30.520113,28.15813,29.162706,1.3318753,33.21279,22.324133,35.55035,47.776848,29.09349,12.553753,6.9651217,1.5688585,7.7671323,4.6587996,7.022635,8.918964,-2.8441598,11.934139,11.874615,2.784918,8.47073,2.22726,1.7300287,10.329648,7.3176017,3.567276,12.740058,1.6000116
19.21469,10.823693,45.627754,46.612213,27.453955,13.338057,-3.6921802,20.950428,12.802633,8.497112,18.638943,8.712343,17.356972,6.28524,14.980079,10.526509,10.187324,13.284702,10.019878,9.774018,19.63489,15.657078,16.030066,2.2771683,30.43962,11.533849,9.635111,35.69205,24.985949,22.396488,22.915209,0.13794178,27.565783,15.94119,32.582302,39.069595,25.007088,9.821007,2.589336,0.8894452,2.6739774,0.8672231,5.820559,4.0304837,-5.6634197,8.668468,8.033909,0.3577139,3.6120486,-1.0201116,-0.23951466,4.9173408,5.3004394,0.8615875,9.392982,-0.5349982
16.879744,2.2517328,40.821144,40.723175,18.282446,9.566679,-7.594333,17.80154,9.6927395,4.841519,14.712627,4.1105976,13.265357,3.19973,10.239112,7.6836753,5.485755,10.581898,5.9791303,6.866441,14.826815,12.76498,14.129415,1.1352272,26.120329,10.011922,7.532137,34.104588,21.060686,20.888752,20.160143,-0.59348637,24.962343,13.312741,30.653162,34.162415,23.805641,8.384445,0.6670795,0.5312222,0.7147946,-0.24482219,4.86521,1.0463452,-6.9091244,6.8609653,5.075046,-0.68871474,-0.106029935,-2.3323827,-1.3353399,2.9930623,4.1794944,-0.729496,7.211547,-1.967272
16.486738,5.284127,40.03927,42.119644,18.320578,11.391142,-4.4218554,17.414745,10.878798,5.8514524,15.33157,4.3635273,12.342444,4.0410995,11.705451,9.762334,8.208411,10.509205,6.531155,8.13363,16.225603,11.960445,14.729848,1.3884773,27.106535,11.15537,7.802084,34.566166,21.777437,22.104404,21.670946,-0.21488911,24.945421,13.353017,29.240664,35.21254,25.109535,9.141846,1.4277987,0.61246574,1.9082913,0.31742987,4.7047715,2.4283032,-5.9976215,6.989841,6.52457,-0.22360781,-0.016476102,-1.5356565,-0.7536176,3.762334,4.0639396,-0.28387833,6.558463,-1.086756
16.59889,9.965798,35.089653,41.454086,19.413137,12.242903,-1.3698611,19.472736,11.549856,9.196728,17.001354,6.8499165,12.75463,5.3233795,14.759025,11.480275,10.2266,11.55492,8.252552,10.497849,16.387178,12.898548,15.66779,2.252617,27.746778,11.047292,8.5267315,33.085804,23.869081,22.555225,22.565035,0.24122852,25.476076,15.993802,29.367403,36.419052,25.216248,9.898754,2.3130221,0.75949943,2.4817243,1.8272146,4.843783,4.181088,-4.741232,7.6649127,7.6840777,0.5869429,2.023044,-0.41664165,0.24603908,5.3275046,4.4856696,0.64549255,7.1170416,-0.1644232
16.003271,15.747933,35.961723,40.225906,21.845633,13.796217,2.7638516,18.875034,12.886679,12.297543,16.632214,8.471621,12.630683,6.09227,18.401344,15.795087,13.437537,13.761082,8.462452,12.468499,17.183947,13.415264,17.422537,2.782154,27.752394,12.390454,9.581232,33.435,24.648378,25.591877,24.673937,0.37924236,24.90642,17.701094,28.888819,39.02562,27.02623,10.96796,4.5348086,1.0148638,4.4985394,3.5662777,4.544966,6.531491,-3.138521,8.194752,9.144321,1.579016,3.8672366,0.82993656,1.1613108,8.414075,4.7083983,1.6116753,7.267356,1.3142412
15.958303,18.199013,36.80413,39.861588,25.173666,15.950224,5.20036,19.93063,12.773382,16.014782,17.234966,9.133715,13.940772,7.1717453,20.482124,18.561789,15.755225,14.542957,9.394764,15.017922,17.763231,14.72575,19.007803,3.2979279,28.614943,13.024144,10.107172,32.789555,26.962618,27.549534,25.510057,0.73804134,24.873674,20.704016,29.033953,40.354477,27.788338,11.709423,6.132877,1.0862378,5.05061,4.6247573,4.397883,8.372013,-2.30208,9.553036,10.540501,2.3426955,5.4385867,2.054771,1.9820944,10.052823,5.1031394,2.3095741,7.9277487,2.2989976
15.914366,21.381401,36.177193,40.80992,27.10671,18.069868,7.1239743,21.187023,13.143217,17.77499,17.583263,9.79561,15.04647,7.711174,21.571327,19.856802,19.413872,14.602955,9.911167,16.099007,18.477343,15.139225,19.770086,3.3507042,28.97302,12.800847,10.877298,32.796177,27.273623,27.613102,27.374254,1.0370603,23.839998,21.929892,29.069666,41.60736,28.018105,12.1160965,6.55817,1.1837949,5.7182965,5.6782165,4.2933373,9.162098,-1.5494668,9.89159,11.234112,2.6858695,6.637523,2.6062388,2.5095642,10.447026,5.078565,3.062748,8.925902,3.4137743
15.10491,24.823143,34.92251,41.115036,29.84519,19.581068,10.08009,22.36401,14.018881,22.283138,17.688763,11.612246,17.490547,9.432579,24.258965,22.206625,22.713448,17.696964,10.995571,18.541512,18.826418,16.262028,21.214407,4.1648254,30.026213,13.817121,11.465918,32.994663,29.735964,30.82436,28.769869,1.2631211,24.516344,23.705885,29.512308,43.738953,29.901672,12.788998,8.06625,1.2744597,6.254742,6.820955,4.2868104,11.010578,-0.22754076,11.062107,12.86623,3.7562754,7.585048,3.8820186,3.2270305,12.634435,5.350221,4.0674973,9.058234,4.400053
15.670164,27.951744,36.042854,41.911163,32.732304,20.348036,12.719166,22.964405,14.412771,25.028912,18.599758,10.94507,18.727547,9.401619,26.537071,25.231367,25.631172,18.608692,12.759029,19.548653,19.53148,18.023945,22.568502,4.520832,32.157806,14.0288515,12.372877,33.260296,30.65375,31.796696,30.974855,1.6361489,25.18123,26.014875,30.035913,46.553116,31.059982,13.744198,9.829327,1.4324473,7.122769,8.050286,4.431151,12.339497,0.80409455,11.89761,14.093639,4.372637,9.522839,4.3555026,3.7077186,13.923429,5.693296,4.8336563,10.3818655,5.5508747
15.995619,30.575218,33.734,43.102417,35.02315,23.171644,14.969868,25.484554,15.210424,28.926708,19.334393,13.556627,21.03463,11.4589,28.266808,26.471655,28.104622,20.335682,13.511745,21.599976,20.697237,18.522854,24.708029,5.311207,32.338593,15.195462,13.085291,32.973454,32.644608,34.54102,33.082336,1.864449,25.176516,28.254736,30.810831,47.243492,32.166008,14.32494,10.782749,1.500306,8.091923,8.762624,4.310374,13.765835,1.7164576,12.515942,15.927128,5.2029133,10.772251,5.2221217,4.503447,15.102071,5.60893,5.883953,10.787551,6.2689953
16.083128,33.642693,34.482994,43.238663,36.579502,23.525434,17.476177,26.287716,15.710714,30.828365,19.253353,13.631563,22.21502,11.50029,30.601295,28.560026,30.675179,22.09377,14.49638,22.293495,22.291063,20.843075,25.964437,5.487091,34.69394,15.760694,13.455194,33.24896,32.9003,35.563984,35.386322,2.333941,25.931032,29.398947,30.955187,49.67977,33.86183,15.17651,12.082874,1.7260078,9.453167,9.941941,4.497645,15.1339,2.8942168,14.043652,16.738064,5.9163494,12.031574,5.8788333,5.143372,16.553823,6.290727,6.2834435,12.419036,7.206293
17.41944,38.68908,36.14962,47.61879,40.228474,26.66702,21.57198,28.694416,16.85591,35.513393,22.03761,15.113451,26.026207,13.262329,33.414696,32.130558,35.515175,24.755238,16.845676,25.060005,25.156282,22.855808,29.463202,6.9198685,38.435028,17.32356,14.469625,35.371258,35.715706,38.63207,39.324417,3.097981,27.9135,32.09786,32.247723,52.16844,36.3619,16.743008,14.166233,1.8712634,11.225193,11.528497,4.9892983,17.491787,4.285742,16.015347,18.694584,6.9049473,14.0876045,7.2096744,6.1126885,18.882841,6.9713645,7.386364,14.278243,8.617231
18.42027,42.190147,37.539925,49.041946,46.08077,29.641249,24.006504,31.230427,17.847654,40.002544,23.388027,17.072603,30.91671,15.914886,36.70907,34.471996,37.930183,28.542545,19.394215,27.49739,26.708101,26.142338,31.869543,7.8078003,41.916824,20.055532,15.725649,36.344296,38.86818,42.786938,41.80974,3.8209605,29.175074,35.387173,34.07349,54.842216,37.894043,17.792168,16.76612,2.0319738,12.435986,12.506875,5.47835,20.845516,5.6887474,18.530804,21.25719,8.141424,15.7983055,8.994961,7.2538495,21.30145,7.7322555,8.70797,16.552345,9.5496025
21.063406,49.690895,40.72953,50.46936,52.580036,33.803474,29.593357,36.258877,21.145292,47.795635,26.528332,21.32796,35.899147,18.359215,41.579414,39.103207,44.16889,32.89558,21.823597,30.839287,30.677103,29.270245,37.58225,9.388287,47.393967,22.89231,17.61175,38.882275,41.636314,48.34551,47.44915,4.7498755,31.216288,39.607952,35.855404,61.148674,42.060028,19.895779,19.849743,2.4049287,15.301754,14.912118,6.4875894,24.227917,7.930258,22.08773,23.947475,9.992401,19.388287,10.82206,8.725846,25.06896,9.005982,10.2776375,19.091995,11.804472
23.077314,58.861214,45.43766,55.662354,62.253315,38.96756,34.93011,40.29257,23.665655,54.05647,31.763042,25.69452,43.142082,22.06746,47.552345,44.428555,49.935448,37.662792,26.066685,35.269608,35.313255,33.87573,42.738567,11.102058,53.371338,26.302244,19.230963,41.621616,46.377014,54.48509,51.899933,5.766334,34.795357,44.299496,39.52754,66.26962,46.007065,22.010666,23.562988,2.8304744,17.685978,17.251978,7.483252,28.753391,10.361345,25.84414,27.930908,11.7050705,23.004704,13.228779,10.094123,29.706556,10.674939,12.370167,23.273827,13.6174965
26.319723,67.72817,52.145287,59.793167,69.81217,44.124115,40.32294,45.76327,28.178457,62.3037,38.884716,31.32944,51.002113,25.929886,53.994415,49.566998,57.056557,43.0228,30.601383,40.54061,39.329468,38.60767,49.111416,13.202478,61.425232,29.813253,21.407877,45.313374,51.37912,61.654118,57.01171,6.967728,38.834908,49.496685,42.27701,72.35953,50.1892,24.448563,27.832756,3.2273269,20.656326,19.756086,8.734122,33.643646,12.859688,30.240742,31.876003,13.683912,27.187588,15.974121,11.71544,34.44733,12.12,14.1952,27.212208,15.95451
30.010344,78.372185,59.874672,65.400055,80.774025,50.317986,47.209507,51.37804,33.3947,71.517105,46.888012,37.949066,58.61312,30.9628,60.972656,56.61224,64.36156,50.607456,35.74866,44.58001,45.979713,43.65095,56.00947,15.2357025,70.444046,34.004368,24.076532,48.333897,56.73787,67.99018,64.176056,8.235234,44.327065,55.83153,45.800045,80.75463,54.752953,27.392817,32.211006,3.8577075,24.253914,22.342436,10.335364,39.025066,15.818072,34.51245,36.440876,15.949694,31.704746,18.96545,13.323052,39.729626,14.289361,16.333279,31.450283,18.157873
33.571747,88.41065,67.675835,74.79994,92.415245,57.401802,53.335552,56.77122,39.628716,81.02615,56.370495,45.586174,69.09838,35.20201,67.59174,62.56645,72.89992,59.15848,42.906498,50.053185,54.52205,50.292614,61.865757,17.353552,79.29836,38.807854,26.430246,53.625538,64.194534,74.055374,71.62448,9.447791,51.084824,63.084354,50.33331,88.38878,59.393837,30.457485,36.2202,4.474814,27.414082,25.183258,12.362117,45.516045,18.14223,38.945946,41.35689,18.11988,36.500317,22.758251,15.354552,45.982838,16.566944,18.59124,36.66038,20.558588
39.289627,102.00967,76.4051,87.266815,110.1919,68.10979,61.57235,64.936676,48.677086,94.45218,68.614204,57.6306,82.30418,43.242638,76.47669,71.40622,82.2699,70.51526,50.38712,56.396294,64.76151,60.42326,69.87639,20.314983,91.98386,45.41444,29.42341,60.792225,75.42366,83.40131,82.86983,10.84247,59.21163,72.81329,57.20473,98.93869,65.35779,34.13144,41.567513,5.2743306,32.420357,28.816116,15.086017,54.142258,21.738295,45.03004,47.52524,21.000437,43.068478,27.747711,18.137405,55.62452,20.339424,21.58447,42.84848,24.14956
50.519775,133.23944,96.04536,111.578735,139.34828,88.38076,78.52239,79.39868,66.8633,118.853935,94.65917,79.17198,107.56483,56.48969,94.34643,90.24608,103.9042,93.65936,67.34438,69.34946,87.397896,78.17124,86.398155,25.720814,117.1537,58.75515,35.611404,74.43126,95.99755,101.89907,105.64506,14.106334,77.40523,89.40079,70.04271,121.00911,78.55453,42.244797,52.476177,6.9394,41.85767,37.14188,20.729696,71.844406,29.126497,57.8739,60.962658,26.442045,54.37099,37.412758,23.6331,74.53419,27.701464,27.831259,56.50963,31.403946
66.93704,178.5537,121.42484,146.63757,181.35312,119.20701,100.12269,102.80594,91.56218,151.48012,130.2514,113.31739,144.13773,75.585434,116.250656,110.38403,128.54205,120.62005,90.28511,87.090485,118.92097,105.974205,110.66411,33.385395,153.42186,74.66659,43.347885,95.29813,124.32901,126.30508,133.27203,18.389332,97.99797,111.1686,84.07681,149.22841,92.84819,51.761467,65.9466,9.122694,53.83291,47.765095,27.896748,95.70077,38.202316,74.180305,78.39681,34.23145,70.436066,50.67487,31.400095,98.103676,37.6811,36.080894,74.58955,39.79386
76.99735,211.80394,147.5964,172.84537,221.97746,144.89224,113.946205,117.71527,112.697334,177.69653,156.10191,145.88344,172.32294,93.649445,131.40414,126.95625,150.90001,138.5665,110.54245,102.409485,146.28786,130.12595,125.69248,38.325798,180.77081,86.17372,50.376247,108.05745,138.99124,145.3451,156.04039,20.237244,116.85207,127.563255,95.05248,167.00302,105.9222,59.626415,75.51352,10.620818,65.67972,55.91792,32.26545,109.598465,44.373577,86.36873,88.1713,39.747047,85.842514,58.30904,37.7854,113.22451,45.53193,43.3082,87.626656,45.874737
